Artikel,Deutsch Wort
der,Baum
der,Apfel
der,Hund
der,Tisch
der,Stuhl
der,Vogel
der,Fisch
der,Zug
der,Wagen
der,Freund
der,Sohn
der,Bruder
der,Mond
der,Himmel
der,Berg
der,Fluss
der,Ball
der,Schuh
der,Computer
der,Lehrer
die,Katze
die,Blume
die,Frau
die,Mutter
die,Tochter
die,Lampe
die,Tasche
die,Uhr
die,Straße
die,Schule
die,Tasse
die,Wand
die,Zeitung
die,Sonne
die,Wolke
die,Tür
die,Brille
die,Milch
die,Arbeit
die,Familie
das,Haus
das,Auto
das,Kind
das,Buch
das,Wasser
das,Brot
das,Fenster
das,Zimmer
das,Bett
das,Tier
das,Fahrrad
das,Handy
das,Bild
das,Glas
das,Messer
das,Spiel
das,Problem
das,Jahr
das,Mädchen
das,Essen
der,Kopf
die,Nase
das,Ohr
der,Arm
die,Hand
das,Bein
der,Fuß
die,Farbe
das,Herz
der,Stern
die,Stadt
das,Dorf
der,Garten
die,Brücke
das,Meer
der,See
die,Insel
das,Schiff
der,Hafen
die,Reise
der,Gedanke
die,Liebe
das,Glück
der,Traum
die,Hoffnung
das,Leben
der,Erfolg
die,Angst
das,Gefühl
der,Wunsch
der,Schlüssel
das,Feuer
der,Kühlschrank
die,Waschmaschine
das,Telefon
der,Schrank
die,Tafel
das,Licht
der,Regenschirm
die,Banane
das,Fleisch
das,GemÃ¼se
das,Obst
der,Reis
der,Salat
der,Bus
das,Flugzeug
die,Wohnung
die,KÃ¼che
das,Bad
die,TÃ¼r
der,Arzt
die,Ã„rztin
die,Lehrerin
der,SchÃ¼ler
die,SchÃ¼lerin
der,Stift
das,Papier
der,Montag
der,Dienstag
der,Mittwoch
der,Donnerstag
der,Freitag
der,Samstag
der,Sonntag
der,Tag
die,Woche
die,Stunde
die,Minute
die,Sekunde
der,Morgen
der,Abend
die,Nacht
das,Trinken
der,Apfelsaft
der,Orangensaft
der,Kaffee
der,Tee
die,Schokolade
das,Eis
das,FrÃ¼hstÃ¼ck
das,Mittagessen
das,Abendessen
die,Kleidung
das,Hemd
die,Hose
die,Jacke
die,Bluse
der,Mantel
der,Pullover
das,Kleid
die,Socke
der,Fernseher
der,KÃ¼hlschrank
der,Herd
das,Sofa
der,Sessel
das,Regal
das,Radio
das,Pferd
die,Maus
